Item,Tipo,pH,CE,MO,Dr,Da,P,K,N,C,H,Na,Pb,Cd,Hg,As,Se,Grasa,ST,Proteína,SNG,Lactosa,P_congelación,Sales,Conductividad
MSB-02,leche ,6.656666667,,,1.03,,,,,,,,,,,,0.04976,4.053333333,12.56,3.103333333,8.506666667,4.683333333,-0.546666667,0.7,4.683333333
MSB-03,leche ,6.77,,,1.028666667,,,,,,,,,,,,0.039926,5.413333333,13.99333333,3.11,8.58,4.723333333,-0.561,0.71,4.333333333
MSB-04,leche ,6.71,,,1.031,,,,,,,,,,,,,3.83,12.68333333,3.23,8.853333333,4.876666667,-0.568666667,0.73,4.493333333
MSB-05,leche ,6.82,,,1.031333333,,,,,,,,,,,,0.044864,3.656666667,12.62333333,3.273333333,8.966666667,4.936666667,-0.576,0.74,4.356666667
MSB-06,leche ,6.79,,,1.032,,,,,,,,,,0.004923,,0.083699,4.88,14.04666667,3.343333333,9.166666667,4.933333333,-0.604333333,0.76,3.59
MSB-07,leche ,6.803333333,,,1.032,,,,,,,,,,0.004702,,,5.013333333,14.28,3.373333333,9.266666667,5.103333333,-0.607666667,0.77,3.62
MSB-08,leche ,6.756666667,,,1.032,,,,,,,,,,0.004811,,,4.923333333,14.16,3.463333333,9.236666667,5.303333333,-0.606666667,0.73,3.643333333
MSB-09,leche ,6.766666667,,,1.029,,,,,,,,,,0.002402,,,3.54,11.96,3.066666667,8.4,4.626666667,-0.534666667,0.69,5.236666667
MSB-10,leche ,6.68,,,1.028333333,,,,,,,,,,0.00206,,0.038011,6.07,14.54,3.066666667,8.47,4.666666667,-0.558,0.703333333,4.823333333
MSB-11,leche ,6.906666667,,,1.03,,,,,,,,,,0.010294,,0.058094,3.37,11.67333333,3.033333333,8.303333333,4.573333333,-0.528,0.68,4.616666667
MSB-12,leche ,6.696666667,,,1.031,,,,,,,,,,,,0.046377,3.86,12.73333333,3.236666667,8.873333333,4.886666667,-0.571,0.73,4.456666667
MSB-13,leche ,6.916666667,,,1.029666667,,,,,,,,,,0.002402,,0.062316,3.333333333,11.58,3.12,8.246666667,4.536666667,-0.523333333,0.68,5.313333333
MSB-14,leche ,6.793333333,,,1.035,,,,,,,,,,,,,2.79,12.20333333,3.463333333,9.413333333,5.213333333,-0.608,0.776666667,5.716666667
MSB-15,leche ,6.8,,,1.035,,,,,,,,,,0.001431,,0.046912,2.79,12.30333333,3.483333333,9.513333333,5.233333333,-0.608,0.776666667,5.716666667
MSB-16,leche ,6.77,,,1.036,,,,,,,,,,0.000777,,0.057223,2.78,12.17,3.443333333,9.39,5.166666667,-0.599,0.77,5.856666667
