AT,SR,RH,WV,AP
0.248927961,-0.259026431,0.366863551,0,0.113589976
0.638606304,-0.211956532,-0.256555752,0,0.212861887
1.039939139,0.474470415,-0.759717926,0,-0.02386344
1.32472707,-0.15425117,-1.097057919,0,-0.265361456
1.169035032,-0.383127581,-0.885166011,0,-0.753130175
-0.621572819,-1.033046181,0.702833709,0,-0.496359558
-0.65653629,-1.01784377,0.62179713,0,-0.879129139
-0.478730604,-0.793320353,0.62136455,0,-1.068127586
-0.391172509,0.061270615,0.736142338,0,-0.935446858
-0.359795035,0.326612582,0.751138431,0,-0.508768546
-0.534911224,0.499732557,0.678609251,0,0.110726363
-0.497258255,-0.091753237,0.520068827,0,0.867674688
-0.002390665,-0.20555736,-0.32108221,0,1.236126206
0.296442421,-0.692567429,-0.424468735,0,1.497669511
0.484109599,-0.338831305,-0.34970456,0,1.385988611
0.676856939,0.472237512,-0.84955029,0,1.006082642
0.874086776,-0.483250313,-0.842484824,0,0.433360075
-0.603941667,-1.033077301,0.482218112,0,-0.392314958
-0.482615434,-1.016303301,0.357274703,0,-0.786538991
-0.675362774,-0.924291374,0.492744215,0,-0.972673825
-0.645778299,-0.629836092,0.457416881,0,-0.745493874
-0.571070027,-0.591297126,0.373135955,0,-0.400905796
-0.461099451,-0.557943629,0.371621927,0,-0.030545204
-0.28568443,-0.077356072,0.23687338,0,0.533586524
-0.083972097,0.263453336,0.294118081,0,1.16262681
-0.033469306,-0.229753622,0.595770257,0,1.445169942
-0.045721462,-0.053533257,0.663613158,0,1.476669684
0.246537296,0.338317815,0.041707883,0,1.237080743
0.41836632,-0.325663403,-0.044880134,0,0.804675206
-0.065743279,-1.033073411,0.747389408,0,-0.439087301
-0.080087267,-1.01836893,0.765053075,0,-0.944037697
-0.143439881,-0.808670586,0.861518326,0,-1.199853777
-0.156289704,-0.474443184,0.87882151,0,-1.14639967
-0.173024357,0.211882621,0.871539753,0,-0.73117581
-0.210378492,0.299222569,0.891150029,0,-0.349360765
-0.120728567,1.699466476,0.88581488,0,0.098317374
0.145830546,1.860496101,0.562389531,0,0.600404157
0.503234917,0.874957452,0.152592455,0,0.865765613
0.752760543,0.619542955,-0.378831587,0,0.852402086
1.432306981,-0.774270659,-1.184727385,0,0.388496808
1.727255236,-0.711049172,-1.19099979,0,-0.399951259
-0.62844598,-1.033077301,0.620283101,0,-1.260944184
-0.82507815,-1.012366546,0.540544261,0,-1.732485763
-0.74469205,-0.842973261,0.426415343,0,-2.061801239
-0.698970588,-0.19456012,0.389069304,0,-1.971120166
-0.477535271,-0.050218914,0.300895162,0,-1.680940732
-0.405516498,-0.587617115,0.408247,0,-1.33826173
-0.19274734,-0.252312163,0.285971165,0,-0.660540027
0.321245567,-0.523520361,-0.07826086,0,-0.214770962
0.695683424,-0.67636916,-0.442564981,0,-0.137453416
0.531922893,0.112074985,-0.463545092,0,-0.185180296
0.715107574,-0.207969206,-0.47335023,0,-0.580358867
0.935646392,-0.340531267,-0.949404082,0,-1.164535885
-0.174518522,-1.033061741,0.423315189,0,-1.400306675
-0.151508375,-0.971384613,0.265063151,0,-1.83366675
-0.539991386,-0.674128477,0.390150753,0,-2.292799341
-0.777563689,-0.05313258,0.670029755,0,-2.228845321
-1.042628637,0.410926052,0.786826248,0,-1.672349894
-1.063248119,-0.035946231,0.594184132,0,-1.123490768
-0.487695596,0.85444509,0.094050015,0,-0.649085575
0.308395745,0.85127857,-0.482506498,0,-0.287315821
0.906061916,1.835506263,-0.968365488,0,-0.249134316
1.007665166,0.964487512,-1.124166241,0,-0.242452553
1.649259801,0.021603528,-1.750974085,0,-0.872447376
1.703946256,-0.616259732,-1.573255965,0,-1.413670201
-0.543577383,-1.033077301,0.057785425,0,-0.688221617
-0.413584991,-1.011732464,0.082298269,0,-1.308671064
-0.383104016,-0.695512216,0.170760798,0,-1.523442026
-0.614699658,0.015223806,0.344153122,0,-1.536805553
-0.98585035,0.680185323,0.735637662,0,-1.013718942
-0.812228327,0.421125826,0.90045049,0,-0.586086093
-0.399838669,-0.017616201,0.340187809,0,-0.25963423
0.466478447,0.959317603,-0.441411436,0,-0.033408816
1.292154263,2.907564054,-1.07478007,0,-0.030545204
1.517175577,1.001766093,-1.347161026,0,-0.244361628
1.440076641,0.220946494,-1.27052234,0,-0.522132073
1.737116728,-0.220079007,-1.302244844,0,-0.961219374
-0.055284121,-1.033077301,0.807013296,0,-1.175035799
-0.17720802,-1.012238173,0.829291146,0,-1.85753019
-0.248330294,-0.738812632,0.804417819,0,-2.011210746
-0.194839172,0.467713356,0.764620495,0,-1.836530363
-0.135670221,0.873747639,0.760583086,0,-1.474760608
-0.209481993,0.917853301,0.793170749,0,-0.993673653
0.198425169,0.346304138,0.242929495,0,-0.591813319
0.906958416,0.680138642,-0.911409173,0,-0.32358825
0.943117219,-0.491108263,-0.712855136,0,0.000954538
1.463983288,1.273678395,-1.590414956,0,-0.305452035
1.648064469,0.450849884,-1.5788795,0,-0.860038387
1.566781869,-0.391499021,-1.295035184,0,-1.300080226
-0.114154239,-1.033077301,0.287052614,0,-1.50626035
-0.102798582,-1.005971264,0.241415466,0,-2.023619734
-0.278512436,-0.756625283,0.450495607,0,-2.591569613
-0.574357191,-0.338173882,0.62475309,0,-2.54861542
-0.498453587,0.20605918,0.644723849,0,-2.052255863
-0.460800618,1.073110056,0.786609958,0,-1.755394666
-0.357105538,0.099171609,0.584306898,0,-1.372625084
0.066042112,0.449371656,0.38575286,0,-0.82281142
0.484109599,0.063748592,-0.252302053,0,-0.658630951
1.137956391,-0.388733178,-0.756617772,0,-0.912537956
0.97419586,-0.318245032,-0.424612928,0,-1.101536403
1.126600734,-0.3846875,-0.541842,0,-1.443260867
-0.22083765,-1.033077301,0.615668919,0,-1.372625084
