S1,S2,S3,S4,S5,S6,S7,S8,S9,S10
11.68566667,8.971333333,12.8925,12.8485,14.18033333,12.54545833,10.684875,7.702708333,13.14141667,7.34775
10.47804167,8.286,12.63670833,12.11795833,14.056125,12.17866667,9.679125,7.217333333,12.755125,6.492791667
10.089625,7.945375,11.91491667,11.67975,14.60933333,11.87475,9.197458333,7.575333333,12.34816667,6.519333333
10.38370833,8.828166667,13.06275,12.90420833,14.272375,12.89829167,10.35783333,8.431125,13.45229167,7.774375
11.31345833,8.453,13.58,13.28070833,14.41766667,13.254,9.848583333,8.20675,13.30358333,7.236666667
11.44520833,8.975791667,14.12170833,12.866875,14.50545833,13.07554167,10.324,7.985916667,13.83866667,7.382916667
10.67120833,8.1985,14.17420833,13.281625,14.16825,13.59645833,10.63404167,7.488833333,13.96595833,7.612958333
11.18154167,8.634166667,14.01325,12.95829167,14.86920833,13.22745833,11.10195833,8.680875,13.81695833,7.794708333
11.58995833,7.848875,13.298125,12.69779167,14.552625,12.57333333,10.202625,8.670666667,13.12920833,6.76875
11.92366667,8.103958333,13.19666667,12.32379167,14.39933333,12.71941667,10.673,9.072333333,13.43533333,7.4405
11.53416667,8.101833333,13.64420833,12.18754167,14.5205,12.61225,11.24633333,9.473333333,13.38166667,7.111375
10.68475,8.047416667,13.47991667,12.26183333,14.52729167,12.87854167,10.77620833,9.408916667,13.42325,7.262541667
10.90320833,7.771791667,13.01579167,11.97808333,14.42708333,12.404875,9.778708333,8.829833333,12.9355,6.546916667
11.881125,7.7285,13.52404167,12.54666667,14.40166667,12.79616667,11.10816667,9.670125,13.27866667,7.0785
12.103625,8.627541667,13.92529167,13.04329167,14.3555,13.23383333,10.81795833,9.836708333,13.70245833,7.227458333
11.8805,8.747125,13.81316667,12.81958333,14.59129167,13.35125,11.89908333,9.880333333,14.03604167,7.64925
11.941,8.480875,14.52195833,12.62091667,14.57675,13.36983333,10.64604167,8.3255,14.22666667,7.466375
12.033125,9.509208333,14.34495833,13.72491667,14.41704167,13.89804167,10.68266667,7.916916667,14.04208333,8.078416667
11.53270833,9.021291667,13.45508333,14.29333333,14.14729167,14.09525,10.8545,7.848666667,14.103875,7.84175
12.23133333,8.877541667,14.373,13.61395833,13.77175,14.22825,11.12745833,7.930333333,14.561625,8.314666667
12.8875,8.504458333,14.65283333,14.015125,14.27425,14.140375,11.459,7.643916667,14.74025,8.741166667
12.18441667,9.196958333,14.38804167,13.301375,14.51341667,13.392625,11.88075,9.642625,14.20020833,7.915
13.16616667,9.28725,14.34679167,13.39766667,14.59325,13.62529167,11.66670833,10.25095833,14.43341667,8.225875
12.88604167,8.928083333,14.46720833,13.49104167,14.78841667,13.71683333,11.90883333,10.52695833,14.49033333,8.259583333
12.23945833,8.964208333,14.115375,13.33070833,14.99820833,13.75604167,12.20408333,10.43,14.2,8.336
11.39629167,8.414083333,13.40420833,12.49258333,14.93525,12.78929167,10.45708333,9.114,12.88195833,7.370541667
11.9185,8.316291667,14.64466667,13.64933333,14.86508333,14.12970833,10.954,9.640875,14.30004167,7.776
12.15754167,8.370375,14.985625,13.58091667,15.122375,14.44325,10.732875,8.844583333,14.39158333,8.04725
12.353,8.163583333,14.77358333,13.50458333,15.031625,14.38670833,11.3735,8.270875,14.67075,8.491291667
14.29345833,11.26091667,16.27879167,15.79720833,14.89316667,15.48629167,12.54425,8.940083333,16.56858333,10.04541667
12.74016667,10.43879167,15.4005,15.238,14.713125,15.34241667,12.203625,8.358166667,16.301125,9.196416667
11.16733333,5.740208333,13.86995833,12.47833333,14.92429167,12.21941667,10.51191667,6.82025,13.208875,7.431166667
12.63408333,7.83525,14.5785,13.77625,15.25308333,14.21020833,12.63575,8.498583333,14.88829167,8.580125
11.544,8.48525,14.121375,12.41370833,14.684,13.297625,11.48183333,8.448625,13.85125,7.615416667
11.11054167,8.385333333,14.30725,12.78054167,14.33116667,13.689125,11.22945833,7.934833333,14.21325,7.856083333
11.73391667,8.7565,13.95408333,12.90233333,14.541,13.56095833,11.19833333,7.908833333,13.80758333,7.7885
12.5375,8.82375,14.508375,13.536875,14.97425,14.00733333,11.79370833,8.347833333,14.41891667,8.086458333
12.07470833,8.329125,14.398375,12.7405,14.52816667,13.22958333,11.20129167,9.029791667,13.992625,7.969333333
11.57429167,8.01675,13.75866667,12.2385,14.289375,13.0905,10.51308333,8.783791667,12.95666667,7.408583333
12.3745,8.801875,14.72791667,13.85995833,14.36595833,14.105,11.68495833,8.300791667,14.09208333,8.505041667
10.7375,7.541,14.13695833,13.33595833,14.62008333,14.23641667,11.16220833,7.719791667,14.31004167,7.702666667
10.95983333,8.485958333,13.42358333,12.59183333,14.722875,13.29,10.30304167,8.566,13.388375,7.229875
12.37995833,8.832375,14.263625,13.33554167,14.65516667,13.564,11.62366667,8.680458333,14.14154167,7.755625
12.28120833,8.864208333,14.11591667,12.796125,14.98920833,13.38583333,11.56420833,9.048291667,14.065375,7.817625
11.58516667,8.288791667,13.50020833,12.85329167,14.922125,12.92220833,10.45491667,8.545333333,13.70895833,6.89225
11.78916667,8.700916667,13.46808333,12.71491667,15.05483333,13.218875,11.075875,9.563833333,13.44670833,7.262375
11.709,8.539916667,13.531125,12.31866667,14.66391667,12.98366667,11.258875,9.907416667,13.36079167,7.150416667
12.48633333,8.893333333,14.17008333,12.78491667,14.69920833,13.11158333,11.43158333,10.08041667,13.60166667,7.39725
12.622,9.1605,14.24120833,12.74475,14.57370833,13.252375,11.55720833,10.801875,13.769125,7.905208333
12.26604167,8.795291667,14.08491667,12.46079167,15.19933333,13.25670833,11.92054167,10.61870833,13.90945833,7.682166667
11.36854167,8.81575,13.209375,12.33679167,15.35320833,12.79570833,10.61775,9.857375,13.479125,7.489708333
12.38970833,9.102875,14.55345833,13.66525,15.22879167,13.50166667,11.490125,9.330916667,14.26654167,8.149291667
12.63383333,9.014333333,14.59341667,13.79329167,15.0875,13.90733333,11.712625,8.790958333,14.63454167,7.886958333
