S6_T,S6_H,S6_R,S6_P,S7_T,S7_H,S7_R,S7_P,S8_T,S8_H,S8_R,S8_P,S9_T,S9_H,S9_R,S9_P
0.642850765,-0.240776937,-0.321944529,0.51297891,1.170704501,-0.982160834,-0.852715323,0.683748903,1.548434216,0.300616878,-0.940099445,0.51297891,1.198067815,-1.181198062,-0.951232428,0.683748903
1.144760367,-0.697555545,-0.324569621,0.478780316,1.445765518,-1.388135257,-0.981864979,0.683748903,1.667485585,-0.887702855,-1.053246869,0.478780316,2.003156632,-3.608345228,-1.108680525,0.683748903
-0.378346762,0.184971088,-0.315821635,-0.102595782,-0.208138347,0.499197165,-0.580101288,-0.102562335,-0.281788969,0.725706102,-0.36747784,-0.102595782,-0.222794381,0.008192093,-0.859532814,-0.102562335
-0.393663252,0.192245528,-0.307877048,-0.102595782,-0.181015503,0.499402653,-0.821934343,-0.06837489,-0.114708293,0.616459015,-0.656741489,-0.102595782,-0.250693498,0.008649463,-0.576819254,-0.06837489
-0.426358068,0.232694226,-0.296920365,-0.034198594,-0.162442251,0.499060174,0.559414855,-0.06837489,-0.166825201,0.657778024,-0.55676653,-0.034198594,-0.314064351,0.007734724,0.104088997,-0.06837489
-0.352721096,0.259507742,-0.264141149,-0.068397188,-0.1547771,0.499402653,0.025805785,-0.06837489,-0.334416827,0.902787573,-0.5261637,-0.068397188,-0.262650263,0.008878148,1.140845814,-0.06837489
-0.348891973,0.246926826,-0.269744461,-0.068397188,-0.168633335,0.49960814,0.383972998,-0.06837489,-0.083029388,0.0099784,-0.337843912,-0.068397188,-0.284570998,0.008535121,-0.447295304,-0.06837489
-0.171868693,0.238633262,-0.297659978,0.34198594,-0.146227508,0.499471149,0.4322942,0.581186568,0.463687197,-0.333222355,0.033002019,0.34198594,-0.137104234,0.009221175,-0.498158398,0.581186568
0.172752336,-0.059548496,-0.276014238,0.444581722,0.401830832,-0.419742073,1.795126517,0.683748903,0.54595016,0.456523527,-0.326401631,0.444581722,0.191308234,0.009678545,0.245774028,0.683748903
0.348891973,-0.01249306,-0.307703832,0.889163444,0.245284851,0.412550018,-0.063812601,1.0598108,0.617483171,0.337157499,-0.283977526,0.889163444,0.231562675,0.009792888,0.371169388,1.0598108
0.452278282,-0.055577425,-0.310570086,1.607333919,0.680134798,-0.288846658,0.053494612,1.538435032,1.075805393,0.081654234,-0.518837608,1.607333919,0.7771897,-0.212603176,-0.711500429,1.538435032
1.166262362,-0.417542316,-0.31828762,2.291305799,0.811621629,-1.157441507,-0.438341558,2.05124671,1.392083492,-0.204861712,-0.77959442,2.291305799,1.105203609,-0.395093725,-0.791772698,2.05124671
1.632826217,-0.689894541,-0.323187535,2.804284709,1.150657181,-1.561018579,-0.783203141,2.427308607,1.607704426,0.312141228,-1.01242442,2.804284709,0.779979612,0.010478942,-0.76250044,2.427308607
1.623106137,-0.887007266,-0.324569621,3.009476273,1.325776414,-1.243266706,-0.981864979,2.666620723,1.89332552,0.059355086,-1.053246869,3.009476273,0.564757849,0.010250257,-1.108680525,2.666620723
0.018998339,0.241022933,-0.315614998,-0.034198594,-0.161557811,0.063769561,-0.624288807,0.034187445,-0.139233897,0.92265068,-0.731175641,-0.034198594,-0.245910792,0.00899249,-0.045786509,0.034187445
0.054049537,0.244080306,-0.305962505,-0.034198594,-0.173350352,0.346794079,0.229805011,0.034187445,-0.010474477,0.923119149,-0.587830743,-0.034198594,-0.163010558,0.008535121,0.279392539,0.034187445
-0.027834775,0.250546475,-0.293115337,-0.034198594,-0.298646099,0.499197165,0.034134417,0.034187445,-0.03500008,0.922556986,-0.54129704,-0.034198594,-0.231562675,0.00899249,-0.127578913,0.034187445
-0.043445813,0.258242622,-0.284716319,0,-0.26857512,0.499334157,0.2682479,0.034187445,0.072810386,0.592192294,-0.010081204,0,-0.197685175,0.009221175,0.872540187,0.034187445
-0.021060174,0.266255049,-0.300717329,0.068397188,-0.245579665,0.498923182,3.31051227,0.06837489,0.105000241,0.657871718,-0.182885363,0.068397188,-0.279788292,0.008878148,0.657958878,0.06837489
0.035787568,0.254517546,-0.297630979,0,-0.139446796,0.499334157,-0.378996001,0,0.007919726,0.922838067,-0.448414187,0,-0.138299911,0.008535121,0.629315036,0
0.166272283,0.118025154,-0.242426356,0.068397188,0.099057344,0.191308683,-0.155268981,0,0.177555153,0.923400231,-0.55965017,0.068397188,0.198083734,0.009221175,0.045793741,0
0.47201299,0.002864091,-0.31470477,0.136794376,0.684851814,-0.825237027,-0.607973915,0.034187445,0.541862559,0.738448472,-0.592896062,0.136794376,0.955345493,-0.207457766,0.037238153,0.034187445
0.790419257,-0.083972341,-0.309282996,0.205191564,1.067224954,-0.865444043,-0.428355128,0.102562335,1.611281076,0.380069305,-0.665702193,0.205191564,1.170965815,-0.449863758,-0.654921907,0.102562335
0.864056229,-0.377691036,-0.319956123,0.376184534,1.390930203,-1.332311206,-0.856812967,0.239312116,1.241353218,0.790448587,-0.67616239,0.376184534,1.221582785,-0.069675114,-0.648848388,0.239312116
